before,after
eror,error
tuerus,terus
erol,error
emg,emang
gk,tidak
mmg,memang
rp,ribu
ga;tidak
aps,aplikasi
bego,bodoh
ngk,tidak
maks,maksimal
bgt,begitu
dpt,dapat
time,waktu
full,penuh
pls,tolong
smt,sementara
ngiklan,iklan
gin,gini
ttg,tentang
cmiiw,opini
studpen,belajar
kk,kakak
doi,dia
tdx,tidak
sbnrnya,sebenarnya
fak,jelek
blm,belum
tpi,tapi
dri,dari
tbtb,tiba 
ak,aku
mw,mau
web,website
point,poin
like,seperti
other,lain
reply,balas
lg,lagi
org,orang
it,itu
samsek,sama
gpp,tidakkenapa
gua,saya
drpd,daripada
in,dalam
udh,udah
km,kamu
dll,lain
ngga,tidak
nang,ingin
pgn,ingin
kl,kalau
plis,tolong
day,hari
gasmua,semua
spill,bilang
unpopular,buruk
mnding,mending
fun,menyenangkan
abis,selesai
mjb,menjawab
sem,semester
tdk,tidak
nggak,tidak
kmren,kemarin
allah,tuhan
guys,teman
jd,jadi
yg,yang
get,dapat
well,baik
soon,akan datang
keinget,ingat
aja,saja
tungu,tunggu
burin,buruk
startnya,mulai
cm,cuma
at,atau
gt,gitu
tp,tapi
jg,juga
login,masuk
logout,keluar
repeat,ulang
klo,kalau
prefer,memilih
kek,seperti
general,umum
doang,saja
wkwk,lucu
mostly,sebagian besar
netap,tetap
spicles,tidak berkata kata
orangorang,orang orang
gmn,bagaimana
gmna,bagaimana
yah,ya
pas,cocok
enggak,tidak
zoom,aplikasi
pinjem,pinjam
hp,handphone
sertif,sertifikat
sygnya,sayang
iming,membujuk
kepalsuan,palsu
branding,merek
dibagusin,diperbaiki
trims,terima kasih
gen,generasi
zanak,anak
skrg,sekarang
ngejalani,menjalani
bls,balas
group,grup
ngepost,posting
not,tidak
even,terjadi
thank,terima kasih
you,kamu
for,untuk
kdg,kadangg
cuman,cuma
react,reaksi
dr,dari
belom,belum
ud,udah
ginian,gini
may,boleh
ask,bertanya
prepare,menyiapkan
kemaren,kamarin
partnernya,rekan
coach,pelatih
jdi,jadi
tsb,tersebut
wkwkwkwk,lucu
gaseh,ayo
pun,juga
oprek,penerimaan
same,sama
btr,bentar
exchange,perubahan
sm,sama
smpe,sampai
kelar,selesai
opinion,opini
th,tahu
diaturrr,daitur
utk,untuk
reward,hadian
ngasah,mengasah
nnti,nanti
first,pertama
kp,kerja praktek
really,sangat
take,ambil
long,lama
to,ke
that,itu
stafnya,sifat
julid,buruk
friendly,ramah
ngejek,menghina
they,mereka
said,kata
gtw,tidak tau
gaikutan,tidak ikut
jwb,jawab
jadwalnya,jadwal
problemnya,masalah
sdm,sumber daya
ngasi,memberikan
dispen,izin
hezz,hai
sbnernya,sebenarnya
cmn,cuma
manbis,mana bisa
your,kamu
shits,omong kosong
together,bersama
need,membutuhkan
offer,menawarkan
alternatives,pilihan
idk,tidak tahu
what,apa
but,tapi
alternative,alternatif
would,akan
be,menjadi
great,bagus
smtr,semster
academy,pendidikan
skrng,sekarang
dahal,padahal
freepass,gratis lewat
krn,karena
ketumnya,ketua umum
sndiri,sendoro
tolol,bodoh
corporate,pemerintah
diapus,dihapus
difikirfikir,dipikir
pake,menggunakan
tools,alat
lu,kamu
dikti,pemerintah
gawean,bekerja
fmipa,fakultas
slide,layar
egk,tidak
dzolim,kejam
wa,aplikasi
ijo,hijau
klau,kalau
ap,apa
mendingo,mending
kouta,pulsa
sj,saja
kemendikbud,kementrian pendidikan dan kebudayaan
explore,explor
ala,seperti
mnjd,menjadi
pa,apa
help,bantu
indo,indonesia
tuh,itu
bp,bapak
mbkmnya,mbkm
ai,hai
pt,perusahaan
hikmahnya,dampaknya
independen,tetap
give,memberi
me,saya
too,terlalu
much,banyak
credit,kredit
tbh,tabah
have,mempunyai
something,sesuatu
impactnation,dampak
capstone,sederhana
project,tugas
burnout,lelah fisik
syndromes,sindrom
flow,arah
fix,sepakat
guest,tamu
star,bintang
ln,ini
katae,kata
skip,lewat
yuk,ayo
machine,mesin
learning,belajar
bee,menjadi
mutualan,berteman
fast,cepat
track,lacak
piro,berapa
moleh,lagi
with,bersama
agens,agen
makerepost,buat posting
promo,promosi
slot,jumlah
run,lari
klwbc,kalau
tarikh,tarik
ko,kamu
oh,iya
ngejak,ngajak
repost,posting ulang
bag,tas
busy,sibuk
mmps,mampus
mna,mana
yaudah,ya
puyeeeenggg ,pusing
blum,belum
ken,kenapa
deh,sudah
trs,terus
tipsnya,saran
cont,contoh
week,minggu
ngdraft,rancang
mood,rasa
iring,ikut
mac,maka
seenganya,setidaknya
klaim,ambil
smg,semoga
prog,program
lbh,lebih
exch,tukar
server,pusat
down,turun
wkwkkw,lucu
mmbuat,buat
kepo,ingin tahu
enggaklaaah,tidak
slm,salam
agustusseptember,agustus
tera,teratur
anakanak,anak
ttp,tetapi
nongs,nongkrong
trusssss,terus
tremor,takut
imbas,dampak
studiproyek,belajar 
desakkn,desa
ngono,seperti
koloq,manja
ungkit,ingat
talks,ngomong
scroll,putar
mulu,terus
bsa,bisa
qna,tanya
upload,posting
cbt,cabut
acc,terima
nyediain,sedia
kegiatankunya,kegiatan
thanks,terima kasih
trus,terus
real,nyata
hardddd,susah
go,ayo
english,inggris
start,mulai
himasae,hima
company,usaha
kuota,jatah
because,karena
xixi,lucu
as,seperti
one,satu
kating,kakak
quoted,kata
my,saya
of,dari
thn,tahun
hell,neraka
out,keluar
mndpt,mendapat
management,mengatur
content,media
crast,tambrak
relation,relasi
dsb,sebagainya
sender,kirim
value,nilai
why,mengapa
modern,baru
ank,anak
boleeee,bole
speechless,berkata
got,dapat
overview,pengamat
taun,ttahun
kak,kakak
emang,memang
fund,dana
matching,cocok
wfh,kerja
kmmi,kami
dlu,dulu
kait,hubung
event,acara
lap,laporan
kompre,konversi
sminggu,minggu
helplusa,bantu
their,mereka
own,sendiri
merc,merek
asliii,asli
agt,agustus
bye,tinggal
kudu,harus
ajg,anjing
butuh,perlu
huhuhu,lucu
respon,jawab
xixixi,lucu
ngehaluin,halu
monyetttttt,monyet
grgr,karena
blg,bilang
blom,belum
rewatch,ulang
rots,awal
startwars,awal
gel,gelombang
kdalam,dalam
toloooong,tolong
nyambi,sambil
duit,uang
lgsg,langsung
komplen,lapor
lom,belum
maw,mau
fess,festival
nunut,numpang
sambat,ngeluh
bgtttt,begitu
mba,mbak
gacocok,tidak
lelet,lambat
cui,hai
intern,magang
masmba ,kakak
power,kuat
sad,sedih
pleaseeee,tolong
whole,siapa
fahutan,fakultas
timeline,batas
linjurlinfak,pindah
gaes,teman 
bootcamp,latihan
launching,terbaru
akeh,banyak
tenan,tentu
sadness,sedih
gws,semoga
collab,kolaborasi
muak,lelah
ty,terimakasi
wishlist,harapan
moms,ibu
braw,hai
linjur,pindah
ez,gampang
klian,kalian
crita,cerita
skalie,sekali
huhuu,sedih
au,tau
log,catatan
book,buku
sd,sampai
nothing,tidak
talk,bicara
prs,siap
beres,siap
kaga,tidak
cape,lelah
jjr,anjir
fell,merasa
narsum,narasumber
syulitttt,sulit
onboarding,mulai
traffic,jalur
jan,jangan
mutual,teman 
home,rumah
participation,partisipasi
university,universitas
can,bisa
someone,seseorang
explain,jelaskan
cacellation,batal
pioneer,pion
paja,pajak
include,termasuk
dlnya,batas
nangisin,nangis
overdue,terlambat
gue,saya
gw,saya
kbtln,kebetulan
tmn,teman 
urgent,penting
growth,tumbuh
muaq,lelah
bejibun,banyak
gangotak,gila
stric,ketat
musingin,pusing
anjingggggg,anjing
startup,kantor
sy,saya
sma,sama
klub,kelompok
cpt,cepat
amazed,takjub
support,dukung
iyh,iya
mewuujudkan,wujud
ummat,umat
gegara,karena
ama,sama
gasss,ayo
gas,ayo
join,gabung
nonaktif,tidak
sila,silahkan
saiki,ini
sya,saya
bestie,teman 
dadi,jadi
awak,kamu
ready,siap
praying,berdoa
fass,fastival
dkk,kawan
blundernya,blunder
concern,khawatir
bangeeeeeet,sangat
tricks,cara
war,perang
ghosting,pergi
mrah,murah
chat,tanya
dah,sudah
ku,saya
treak,teriak
tolah,liat
toleh,liat
helppp,bantu
especiallyy,spesial
pol,penuh
tll,tolong
regisnya,daftar
lompok,kelompok
ggal,gagal
durung,belum
telyu,beritau
iki,ini
slalu,selalu
moots,rasa
ngeproses,proses
agk,agak
aing,saya
bs,bisa
modol,bodoh
dinotice,diberitahu
experience,pengalaman
location,lokasi
joining,gabung
encok,lelah
mangats,semangat
sia,percuma
telek,jelek
pala,kepala
rekognisi,rekaman
konvert,konversi
gelem,sakit
asiiiik,seru
masi,masih
gede,besar
gaikut,tidak ikut
katane,katanya
udah,sudah
bener,benar
kakk,kakak
nanya,bertanya
alam,alam
lelah,lelah
dosen,dosen
sempet,sempat
dapet,dapat
bingung,bingung
gitu,seperti itu
kali,mungkin
temen,teman
gin,gini
opini,pendapat
alhamdulillah,syukur
sepert,seperti
tidak,tidak
suka,suka
tuju,tujuan
gimana,bagaimana
suruh,suruh
yaa,ya
pilih,pilih
pikir,pikir
tu,itu
budaya,budaya
tri,coba
nyesel,menyesal
gabisa,tidak bisa
terimakasi,terima kasih
prodi,program studi
capek,lelah
ubah,ubah
kaprodi,kepala program studi
gara,karena
kaya,seperti
enak,enak
gajelas,tidak jelas
karna,karena
makasih,terima kasih
selese,selesai
pkl,pukul
surat,surat
lingkung,lingkungan
mikirin,pikir
ngisi,mengisi
skripsi,laporan
ngurus,urus
ituu,itu
aamiin,semoga
jelek,jelek
studi,belajar
bang,kak
congrats,selamat
ngapain,mengapa
mumet,pusing
tagih,menagih
knp,kenapa
terimakasih,terima kasih
ngambil,ambil
kmrn,kemarin
kayak,seperti
hope,harapan
pptnya,presentasi
liat,lihat
kamarin,kemarin
sampe,sampai
kait,hubungan
kasih,kasih
temenku,teman
kaka,kakak
mesti,harus
rakyat,rakyat
baca,baca
fasilitas,fasilitas
kejar,mengejar
tips,cara
pandu,panduan
silah,silahkan
cek,lihat
worth,sesuai
student,siswa
krna,karena
batal,batal
jodoh,jodoh
agreement,setuju
komunikasi,komunikasi
plus,tambah
undang,mengajak
gausah,jangan
gampang,gampang
univ,kampus
bal,balas
infes,investasi
puyeng,pusing
maaf,maaf
tawar,tawar
praktisi,praktisi
punten,silahkan
sulit,sulit
hasil,hasil
anying,anjing
sesal,menyesal
laksana,laksanakan
super,super
debut,penampilan pertama
analisis,analisis
apaa,apa
nyelesain,menyesal
nerapin,menerapkan
kek,seperti
realistis,nyata
bsip,bantuan
asu,anjing
red,merah
tani,kamu
ngulang,mengulang
inget,ingat
praktek,praktik
sepakat,setuju
yaaa,ya
tanyatanya,bertanya
nambah,menambah
hidup,hidup
santai,santai
ntar,nanti
pantau,lihat
ngerti,paham
gais,teman
mampu,dapat
total,total
banding,dibandingkan
gapaham,tidak paham
gaa,tidak
sebenernya,sebenarnya
ajaa,aja
ato,atau
ngerjain,kerja
perihal,hal
nabung,menabung
ttahun,tahun
bole,boleh
guru,guru
ketuk,ketuk
versi,versi
wkwkwk,katawa
upi,kampus
kejam,kejam
romusha,kerja paksa
ngurusin,urus
ngajar,mengajar
sharing,berbagi
gera,kamu
galolos,tidak lolos
nemu,ketemu
sptnya,sepertinya
panitia,panitia
gasiap,tidak siap
betull,betul
heheh,ketawa
wkkw,ketawa
tobat,tobat
goda,tergoda
kterimaaa,terima
upnsby,kampus
gede,besar
almet,almamater
wirausaha,usaha
itungannya,hitung
bangeeet,sangat
konsekuensi,akibat
lumayan,cukup
semangatt,semanagt
berat,berat
mkbm,mbkm
fisika,fisika
rezeki,rezeki
gaada,tidak ada
juliagustus,juli agustus
tengah,tengah
rejekinya,rezeki
meninggoy,meninggal
brpan,berapa
dika,kamu
anggap,menganggap
ribettttt,susah
ketimbang,dibandingkan
good,baik
luck,beruntung
tak,tidak
giur,pengaruh
rekomen,rekomendasi
fee,biaya
dibarengin,bersama
huhuhuhuhuhu,menangis
sentuh,sentuh
webinar,seminar
owke,oke
okeh,oke
wlw,walau
ok,oke
gatau,tidak tahu
makasihh,terima kasih
auto,otomatis
enggaaaa,tidak
mngerti,mengerti
filkom,kampus
genjot,mengayuh
ngab,kak
lur,teman
kontrol,kendali
news,berita
pupr,undang undang
kemen,kemarin
halal,halal
us,kami
jdlah,jadi
please,tolong
akmal,kamu
menang,menang
dips,kamu
woiiii,woi
hailahh,hai
semangattt,semangat
antioksidan,obat
minum,minum
buah,buah
kulit,kulit
pangan,pangan
lldikti,dinas pendidikan
bronze,medali
ngajak,mengajak
winner,menang
implementasi,implementasi
teknologi,teknologi
flagship,unggul
selesaiii,selesai
kalen,kalian
via,dengan
curhat,curhat
banggan,bangga
ktnya,katanya
hahahaha,ketawa
gada,tidak ada
ruwet,susah
mahasiwi,mahasiswi
fyi,informasi
nderrr,teman
pokoknyaaa,harus
maha,kalian
ngundurin,mengundurkan
semangatin,semangat
yok,ayo
positif,posiif
hamdalah,sudah
aka,kak
ongkos,biaya
juni,juni
huhu,menangis
gaje,tidak jelas
kang,kak
teh,kak
guys,teman
neng,kak
ajaaaa,aja
hibah,hibah
omong,ngomong
kontrak,kontrak
ra,rasa
sempurna,sempurna
kala,kalau
rangkai,rangkai
kemari,kemarin
acau,aku
paansi,apa
frik,tidak jelas
gaturun,tidak turun
meresahkannn,resah
ngurusi,urus
garagara,karena
cenah,tengah
beneran,benar
festival,festival
benerrr,benar
pusyinggg,pusing
definisi,definis
promosi,promosi
ngikut,ikut
hororr,seram
chung,chung
new,baru
parno,trauma
convert,konversi
soft,mulus
tetek,jelek
bengek,bengek
sii,sih
kreatifitas,kreatif
gantiin,ganti
metode,metode
alias,alias
ajsgdadjgadakj,tidak jelas
anjg,anjing
tes,tes
bogor,bogor
senang,senang
jancoo,jelek
gabut,bosen
serasa,rasa
harap,harap
sambut,sambut
undiksha,kampus
sihhh,sih
diberitahu,tahu
muluu,terus
lokasi,lokasi
lombok,lombok
wib,waktu indonesia barat
sial,sial
hadeeee,lelah
pbs,pbs
ohh,oh
bukaa,buka
fkip,kampus
embel,tambah
ledak,meledak
nyampe,sampai
iklan,ilkan
kaget,kaget
who,siapa
yaah,ya
sudah,sudah
gusti,tuhan
ribetmah,repot
derita,derita
potensi,potensi
pekan,pekan
akhir,akhir
maju,maju
jaman,zaman
blass,lolos
bat,sangat
ono,itu
tumben,tumben
daerah,daerah
pesut,pesut
lahh,kenapa
eek,jelek
gileee,gila
gamau,tidak mau
dikerjain,dikerjakan
santuyy,santai
lompok,kelompok
mls,males
palu,kepala kamu
stpl,stpl
benua,benua
hhhhhh,hhh
lintas,lintas
annisa,anisa
reksadana,investasi
rangkap,rangkap
mantap,mantap
kpn,kapan
pajak,pajak
repot,repot
dapat,dapat
laa,lah
siskad,aplikasi
rancang,rancang
unpak,unpak
bangsatttttttttttt,bangsat
dikonversiin,dikonversi
lepas,lepas
hadeh,lelah
makas,markas
anjirrrr,anjir
seruuu,seru
gasiii,tidak
say,saya
bkn,bukan
kemanaa,kemana
smngt,semangat
nyerah,nyerah
kli,semoga
allaah,tuhan
kekmana,seperti apa
keluar,keluar
benefit,manfaat
caranyaaaa,cara
tuhan,tuhan
deng,dengan
canda,canda
lebih,lebih
ampun,maaf
beraaatt,berat
tanyaa,bertanya
iyaaa,iya
hahaha,ketawa
duluan,dulu
peluang,peluang
nanyananya,bertanya
diajakin,ajak
ketemu,temu
gakbakal,tidak mungkin
ilangin,hilang
bikin,buat
cerah,cerah
mara,marah
wae,hai
adem,nyaman
bodo,bodoh
saat,saat
kucing,kucing
part,bagian
mager,males
mantapp,mantap
sekip,berhenti
wess,ayo
ngelamar,melamar
selamat,selamat
kgk,tidak
maranatha,perantara
anjrit,jelek
maf,maaf
naro,taruh
ngurusinnya,urus
dah,sudah
finally,akhirnya
presentasi,presentasi
yoalaah,tuhan
merhatiin,perhatian
abdi,abdi
masyarakat,masyarakat
maksud,maksud
sender,mengirim
bobrok,bohong
enas,enas
dengar,dengar
never,tidak pernah
ending,akhir
ngurung,mengurung
berkas,berrkas
unw,kapus
univeristas,universitas
gue,saya
islam,islam
malang,malang
umat,umat
mewujutkan,mewujutkan
regular,regular
bantuin,bantu
again,lagi
eksperimen,pegalaman
inisiasi,isisiasi
ristek,penelitian teknologi
stlh,setelah
yogyakarta,yogyakarta
apadaya,apa
busuk,busuk
ptk,ptk
grade,kelas
syaratin,syarat
sinkronisasi,sinkron
asa,menyerah
dasar,dasar
searching,pencarian
chatgpt,aplikasi
gapernah,tidak pernah
quotes,kutipan
lupa,lupa
endingnya,akhir
kepake,pakai
semacem,jenis
prokernya,program kerja
jalanin,jalan
rada,rada
telat,terlambat
nombok,menambahkan
its,itu
dipake,pakai
step,langkah
template,format
bawa,membawa
cant,tidak bisa
relate,mengaitkan
ngeluh,lelah
ketidakcocokan,tidak sesuai
adl,adalah
batu,batu
ranah,lingkup
struktural,struktur
ngomongin,berbicara
hallo,halo
penuhh,penuh
sangadd,sangat
kuesioner,survei
nila,nilai
juta,juta
rupiah,rupiah
balasa,balas
letih,letih
asah,asah
goto,aplikasi
situ,kamu
bas,sangat
dengki,dengki
sayang,sayang
semua,semua
anjirrr,anjir
kenan,berkenan
tanyain,tanya
jalin,jalin
jugaa,juga
bngtt,sangat
nyuruh,suruh
sby,surabaya
dibatasin,batas
pent,ingin
sedia,tersedia
hahah,ketawa
ke,ke
jdnya,jadi
aga,seperti
messed,kacau
final,final
projectnya,tugas
upah,gaji
tepat,tepat
kurang,kurang
takutin,takut
sobat,teman
informasi,informasi
baru,baru
dapetin,dapat
nyangka,duga
dilaporin,lapor
alumni,alumni
hayukkk,ayo
pulsa,pulsa
istimewa,istimewa
lihat,lihat
explor,jelajah
disiplin,disiplin
seniman,seni
hadehhh,iya
here,disana
hny,hanya
jiwoong,jiwa
ngambis,ambisius
kabarin,kabar
efektif,efektif
life,hidup
lets,ayo
vaksin,vaksin
kwkw,katawa
prnh,pernah
kyk,seperti
lgi,lagi
nugas,tugas
ganti,ganti
manggilnya,memanggil
ky,seperti
dl,dulu
bbrp,berapa
saya,saya
tahu,tahu
sakti,sakti
asik,seru
umur,umur
prpoosal,laporan
hrs,harus
kefirikan,pikir
ortu,orang tua
umrah,berdoa
nikah,menikah
sampah,sampah
upaya,usaha
luas,luas
kompetisi,kompetisi
besar,besar
senjang,senjang
anggar,biaya
gratis,gratis
privilese,hak istimewa
gelintir,gelintir
golong,kelompok
sbm,sbmptn
engga,tidak
tara,tara
permata,permata
ingin,ingin
wkkwkw,ketawa
tambah,menambah
gaiiss,teman
adaa,ada
nanyaa,bertanya
doong,iya
min,kak
bem,organisasi mahasiswa
aktif,aktif
bangeeeet,sangat
boleeh,boleh
bnrn,benar
nikmatin,menikmati
turn,berbelok
better,lebih baik
than,dibandingkan
mine,berpiikir
and,dan
little,kecil
regret,menyesal
possible,mungkin
yeah,ya
gaaa,tidak
survey,survei
ngomong,mengata
lari,lari
entar,sebentar
serang,serang
puja,sembah
riilll,nyata
bro,kak
brp,berapa
gajinye,gaji
ngasih,memberi
timingnya,waktu
huaaaaa,huaaaaa
bgttt,sangat
happen,terjadi
umpat,sembunyi
pov,sudut pandang
spt,seperti
areng,arang
tmnku,teman saya
random,acak
terkadang,kadang
manajemen,mengelola
psdm,psdm
thingy,benda
nal,nal
awardee,awardee
rafael,rafael
arfah,arfah
gpa,indeks prestasi
skor,nilai
ielts,belajar
briefing,mengarahkan
diskursus,kursus
flagnya,bendera
civitasalumni,masyarakat alumni
brand,produk
image,citra
ormawa,organisasi mahasiswa
upgrade,meningkatkan
segi,segi
valuable,berharga
rb,ribu
strata,tingkat
sarjana,sarjana
minim,kurang
bengkalai,terbengkalai
summer,musim panas
fresh,segar
conference,pertemuan
ikutttt,ikut
or,atau
april,april
doswal,dosen wali
pdb,pdb
dibandingin,dibandingkan
mas,kak
opportunity,penghargaan
lingkup,lingkup
international,internasional
relasi,hubungan
lomba,lomba
mayoritasin,mayoritas
graduate,lulus
frustasi,menyerah
eksploitasi,eksploitasi
cust,ayo
survei,survei
panglong,panglong
standing,berdiri
ngeperbaikin,perbaiki
cat,cat
akrilik,akrilik
ngerubah,ubah
marketing,pemasaran
konteennnnn,konten
gform,formulir
tetekbengeknya,jelek
logbook,buku harian
cpmk,lelah
kedok,tuli
chaos,kacau
sedanvkan,sedangkan
seriussssss,serius
bri,bri
formalitas,formal
cetak,cetak
tabung,tabung
conection,koneksi
noh,noh
pinfingerprint,sidik jari
sen,sen
jiwa,jiwa
konfirmasi,konfirmasi
batin,batin
temanteman,teman teman
instagram,instagram
klik,tekan
link,jalur
note,catat
binter,pintar
bpsi,bpsi
ajak,ajak
ramah,ramah
psikologi,psikologi
ngak,tidak
mengakomodir,akomodasi
lebur,lembur
bangun,bangun
libur,libur
karya,karya
bahan,bahan
metodologi,metodologi
kimia,kimia
tanah,tanah
seri,seri
hah,hah
aq,aku
ak,aku
ap,apa
mantep,mantap
user,pengguna
nyaman,nyaman
boomer,terkenal
video,video
send,kirim
kagak,tidak
ngelag,lambat
lag,lambat
proker,program kerja
no,tidak
club,kelompok
sdh,sudah
banget,sangat
transfer,kirim
wong,orang
bgst,bangsat
all,semua
hbs,habis
grgr ,gara gara
gr ,gara
staf,pegawai
guiz,teman
mslah,masalah
iye,iya
bnyak,banyak
deadline,batas waktu
sudahi,sudah
keknya,sepertinya
sbg,sebagai
pen,ingin
gajuga,tidak juga
gakusah,tidak usah
ga,tidak
gak,tidak
otw,ayo
sans,santai
uda,sudah
udah,sudah
terimakasi,terima kasih
minggat,pindah
minggatnya,pindahnya
galama,tidak lama
mhsw,mahasiswa
pengen,ingin
yaallah,tuhan
magangnya,magang
ketolong,bantu
gatau,tidak tahu
smgt,semangat
kayaknya,sepertinya
makasih,terima kasih
makasi,terima kasih
congrats,selamat
nder,teman
senderr,teman
maba,mahasiswa baru
ikutttt,ikut
ugm,universitas
bpsi,pemerintah
irii,iri
mka,maka
bjir,anjir
stress,gila
jir,anjir
jirr,anjir
mlm,malam
dgn,dengan
kt,kita
ngepos,posting
bph,bapak
bphnya,bapak
gabanyak,tidak banyak
berkata,kata
ditunjukkin,tunjuk
ditunjukin,tunjuk
ditunjuk,tunjuk
dpl,dosen pembimbing lapangan
aj,saja
kyknya,sepertinya
kyk,seperti
disni,disini
haduh,waduh
bad,buruk
pdhal,padahal
order,pesan
klu,kalau
ush,usah
bnyak,banyak
moga,semoga
jls,jelas
nyesal,sesal
ksh,kasih
bngt,sangat
nungu,tunggu
mendaptarkan,mendaftarkan
account,akun
acount,akun
klik,pencet
downlod,unduh
msk,masuk
download,unduh
recomended,rekomendasi
kismin,miskin
verivikasi,verifikasi
ngulangin,ulang
verivikasinnya,verifikasi
langsunh,langsung
menunggu,nunggu
nyangkut,sangkut
pinjol,pinjaman online
very,sangat
nyusahin,susah
delay,lambat
jgn,jangan
tny,tanya
knp,kenapa
ad,ada
krna,karena
bug,error
sory,maaf
say,bicara
skali,sekali
lag,lambat
apk,aplikasi
top,tinggi
burik,buruk
slow,lambat
gn,gini
mlh,malah
uptodate,baru
ganguan,gangguan
smpai,sampai
bertransaksi,transaksi
dikembalikan,kembali
ngumpulin,kumpul
ampe,sampai
mingu,minggu
bgini,begini
sat,saat
buy,beli
sel,jual
merugugikan,rugi
semingu,seminggu
ngerti,paham
kgk,tidak
kasi,beri
ntar,nanti
pmula,pemula
moga,semoga
lop,cinta
love,cinta
yu,kamu
invest,investasi
wokey,oke
nice,bagus
update,baru
nemuin,temu
temuin,temu
simple,sederhana
tgl,tinggal
pakek,pakai
overal,keseluruhan
overall,keseluruhan
ui,ui ux
uiux,ui ux
interface,ui ux
klw,kalau
bgs,bagus
mantul,bagus
matul,bagus
inves,investasi
tdi,tadi
stlah,setelah